Property_ID,List_Price,Market_Value,Price_Premium_%,Area_sqft,Bedrooms,Bathrooms,Age_Years,Condition_Score,Crime_Rate,School_Rating,Distance_to_City_km,Listing_Photos,Days_on_Market,Unsold_6_Months
P313,377000,395000,-4.5,2218,5,3,32,5.2,27.0,6.0,11.1,32,44,0
P314,285000,277000,2.9,1597,3,2,21,6.6,35.1,5.0,14.5,33,79,0
P315,355000,309000,14.9,1793,4,3,20,7.0,40.0,5.9,14.5,39,163,0
P316,251000,250000,0.3,1211,3,2,0,10.0,30.6,5.9,10.6,21,30,0
P317,248000,255000,-2.8,1510,3,1,36,6.2,33.0,5.3,14.8,31,11,0
P318,242000,227000,6.4,1198,3,2,21,7.7,25.1,6.5,9.9,33,114,0
P319,354000,323000,9.5,1903,5,3,43,1.8,32.1,7.7,9.0,9,191,1
P320,169000,141000,19.8,838,2,2,6,8.3,43.4,3.9,22.6,29,260,1
P321,262000,242000,8.2,1499,4,2,30,5.2,27.9,6.0,12.5,16,210,1
P322,319000,288000,10.8,1407,3,2,27,3.8,15.8,9.3,6.4,9,196,1
P323,358000,321000,11.5,2074,5,3,33,5.4,41.1,4.1,13.7,10,186,1
P324,201000,213000,-5.4,1815,4,2,38,2.5,52.2,2.4,20.7,8,164,0
P325,290000,301000,-3.7,2114,4,3,27,6.4,50.4,2.8,17.6,36,46,0
P326,329000,346000,-4.8,1810,4,2,12,9.0,30.9,5.8,11.0,32,7,0
P327,136000,146000,-7.0,796,1,2,20,8.1,32.1,6.7,14.0,8,94,0
P328,280000,250000,12.2,1557,4,3,40,2.5,31.3,6.0,13.4,26,266,1
P329,169000,157000,7.6,767,2,1,33,6.2,16.4,8.1,8.3,28,58,0
P330,157000,149000,5.7,1140,3,3,8,7.8,53.0,1.0,19.1,23,169,0
P331,298000,365000,-18.3,2170,4,3,37,2.9,26.5,5.9,14.1,26,7,0
P332,422000,342000,23.5,1694,3,3,26,4.4,15.8,10.0,3.4,36,234,1
P333,152000,157000,-3.0,951,2,2,11,7.8,32.6,4.1,19.6,23,12,0
P334,215000,174000,23.5,994,2,1,18,7.8,31.8,4.8,15.6,28,190,1
P335,230000,250000,-8.0,1484,3,2,13,7.6,37.0,5.9,16.2,24,56,0
P336,152000,156000,-2.3,863,2,1,3,8.5,36.9,4.8,13.9,18,7,0
P337,170000,200000,-14.8,1124,4,2,10,7.5,31.9,5.9,13.6,36,7,0
P338,356000,329000,8.3,1509,4,2,13,7.9,19.1,8.2,5.3,19,94,0
P339,496000,522000,-4.9,2097,5,3,4,10.0,9.1,8.7,4.7,32,7,0
P340,254000,267000,-4.7,1566,4,2,29,6.5,26.5,5.3,12.8,26,59,0
P341,98000,106000,-7.4,500,1,1,34,4.7,11.5,7.9,1.0,28,7,0
P342,319000,285000,12.0,1538,3,3,16,6.9,32.7,6.0,14.1,31,174,0
P343,381000,342000,11.4,1538,2,2,13,6.9,21.0,9.0,4.8,30,100,0
P344,294000,242000,21.3,1407,3,3,25,3.4,34.0,7.3,11.4,24,228,1
P345,334000,338000,-1.2,1970,5,3,35,4.1,22.9,6.3,10.4,26,99,0
P346,113000,106000,7.0,500,1,1,6,9.6,25.8,4.7,11.3,22,74,0
P347,268000,287000,-6.6,1138,2,1,26,5.6,2.4,10.0,1.0,16,7,0
P348,298000,292000,2.0,1532,3,2,35,5.8,23.0,9.6,4.1,30,111,0
P349,112000,112000,0.3,642,2,1,12,8.1,38.5,5.6,15.6,35,108,0
P350,467000,428000,9.2,2144,5,4,26,5.8,17.6,6.9,9.2,29,94,0
P351,288000,252000,14.2,1489,4,2,26,5.1,33.5,5.9,13.0,32,171,0
P352,361000,317000,13.9,1809,4,3,18,7.2,36.1,4.6,11.7,34,157,0
P353,201000,206000,-2.6,1107,2,2,48,4.5,25.1,6.4,8.5,17,80,0
P354,389000,341000,14.0,1847,4,3,13,6.0,26.5,5.8,8.9,7,161,0
P355,419000,401000,4.6,1938,3,2,5,9.4,26.1,6.5,8.8,16,111,0
P356,270000,264000,2.1,1422,2,3,26,7.5,19.1,4.5,10.4,31,106,0
P357,268000,272000,-1.4,1485,3,2,21,3.8,24.5,5.6,12.3,33,50,0
P358,303000,303000,-0.0,1647,3,2,27,5.0,24.1,6.7,9.6,22,111,0
P359,171000,142000,20.7,1059,3,1,26,4.9,43.4,2.6,18.9,32,294,1
P360,240000,223000,7.8,1166,4,1,26,5.4,24.7,7.4,13.2,7,176,0
P361,232000,218000,6.6,1410,4,1,21,4.9,38.6,3.5,16.6,27,119,0
P362,235000,229000,2.6,1442,3,3,19,7.8,33.9,4.3,18.4,28,109,0
P363,410000,323000,27.0,2019,4,2,46,4.4,31.4,5.0,11.5,22,324,1
P364,233000,200000,16.7,1047,2,3,19,7.3,25.5,7.4,10.5,30,187,1
P365,219000,222000,-1.5,1379,4,1,24,5.5,38.2,3.5,10.4,22,86,0
P366,432000,421000,2.5,2086,5,2,22,8.3,17.4,6.5,10.6,23,7,0
P367,148000,144000,3.1,1040,3,2,32,3.5,42.2,4.2,18.3,26,137,0
P368,219000,206000,6.3,1111,2,2,10,9.8,32.5,6.7,13.3,32,89,0
P369,259000,262000,-1.3,1447,3,2,23,8.2,36.5,5.3,14.1,13,76,0
P370,372000,342000,8.9,1808,4,3,16,9.2,30.9,6.4,13.7,15,193,1
P371,302000,256000,18.1,1510,2,1,34,3.9,26.5,6.5,7.8,19,273,1
P372,301000,323000,-6.8,1931,4,3,18,7.7,32.9,3.6,14.9,12,64,0
P373,324000,342000,-5.2,1712,4,2,14,6.7,17.6,6.8,6.8,16,25,0
P374,270000,268000,0.7,1635,5,2,35,2.6,27.1,5.1,15.3,17,181,1
P375,213000,211000,1.1,1522,3,2,20,6.0,47.0,1.9,21.3,15,142,0
P376,389000,316000,23.0,2228,4,3,19,7.4,45.2,3.2,15.4,19,296,1
P377,295000,259000,14.0,1395,3,1,24,7.0,32.6,5.1,9.0,22,132,0
P378,144000,127000,13.5,715,1,1,26,6.1,30.9,5.9,12.6,29,222,1
P379,426000,415000,2.6,2293,5,3,25,6.3,27.1,4.8,11.5,15,124,0
P380,200000,195000,2.4,999,2,2,5,9.4,29.1,6.2,9.5,34,21,0
P381,279000,304000,-8.1,1536,3,2,10,9.2,28.9,6.0,15.0,21,7,0
P382,410000,366000,12.0,2160,5,3,55,1.0,22.8,8.6,8.8,30,229,1
P383,104000,95000,9.4,624,1,1,25,4.9,47.5,4.5,17.4,9,206,1
P384,152000,130000,16.6,849,1,2,25,6.0,37.9,5.1,15.3,11,241,1
P385,71000,69000,3.1,500,2,1,45,4.1,39.5,3.6,17.8,20,171,0
P386,208000,201000,3.7,1075,2,2,22,7.1,29.1,6.5,10.1,17,121,0
P387,345000,324000,6.5,1470,3,3,14,7.2,18.7,7.2,6.5,22,48,0
P388,298000,264000,13.0,1660,4,2,44,3.8,31.9,5.0,14.9,10,223,1
P389,159000,173000,-8.2,1337,4,2,21,5.9,46.3,1.8,18.7,21,50,0
P390,124000,111000,11.6,829,2,1,40,4.1,43.3,2.7,22.0,29,237,1
P391,81000,77000,4.8,500,1,1,35,6.1,33.2,3.7,15.7,30,146,0
P392,234000,245000,-4.5,1330,3,2,3,7.5,28.1,4.0,16.8,13,33,0
P393,150000,174000,-13.8,1051,2,2,25,3.7,30.5,3.5,11.5,17,32,0
P394,260000,250000,3.8,1348,4,2,16,6.2,25.5,5.2,10.0,23,124,0
P395,304000,258000,18.0,1684,3,2,39,2.9,35.1,6.0,10.9,23,298,1
P396,372000,310000,20.1,1392,3,1,6,9.8,23.0,6.4,8.3,32,148,0
P397,289000,267000,8.2,1556,4,3,22,7.4,32.5,3.8,14.8,18,145,0
P398,304000,248000,22.7,1558,3,2,33,6.6,36.7,6.1,14.5,28,248,1
P399,326000,312000,4.6,1585,3,2,21,5.6,18.3,6.3,8.1,35,33,0
P400,143000,126000,13.6,954,3,2,37,4.4,41.8,3.8,15.6,15,257,1
P401,254000,252000,0.9,1253,3,2,3,7.9,28.1,7.1,10.3,33,33,0
P402,290000,289000,0.4,1617,4,1,29,6.0,32.4,6.7,10.7,16,77,0
P403,318000,322000,-1.1,1842,4,3,27,4.6,28.5,4.5,11.2,16,102,0
P404,218000,252000,-13.5,1207,2,1,31,5.1,19.9,8.4,8.7,27,7,0
P405,319000,274000,16.6,1709,3,2,41,5.1,29.5,3.7,14.3,26,174,0
P406,263000,265000,-0.8,1141,2,2,24,8.2,6.5,10.0,6.3,24,26,0
P407,235000,240000,-2.2,1351,3,2,26,5.2,34.9,4.4,11.8,13,68,0
P408,270000,286000,-5.6,1791,4,3,14,7.2,48.2,3.1,17.6,8,60,0
P409,94000,91000,3.2,500,1,1,23,5.1,31.3,5.3,11.6,36,48,0
P410,170000,141000,20.9,869,1,1,19,7.3,39.5,3.1,12.9,35,247,1
P411,126000,102000,23.8,639,1,1,25,5.9,28.0,5.9,17.9,36,315,1
P412,96000,106000,-9.9,500,1,1,5,10.0,18.3,8.6,10.1,22,7,0
P413,207000,203000,1.8,1161,1,2,42,2.7,25.5,6.5,11.3,35,100,0
P414,239000,250000,-4.3,1387,3,1,7,9.0,34.2,3.9,13.0,21,79,0
P415,349000,306000,13.9,1415,3,2,17,9.6,16.7,5.8,7.7,7,76,0
P416,237000,220000,7.6,1123,4,3,34,3.2,19.8,7.7,5.6,11,215,1
P417,424000,427000,-0.7,1816,4,4,0,10.0,17.5,8.0,8.7,14,74,0
P418,453000,429000,5.7,2121,4,4,15,8.6,29.0,6.3,10.5,18,7,0
P419,295000,293000,0.7,1331,3,1,17,7.5,18.3,8.4,7.3,37,7,0
P420,306000,256000,19.5,1833,3,3,30,5.1,51.8,3.3,22.2,16,263,1
P421,246000,224000,9.9,1310,2,2,25,6.4,32.9,5.7,15.6,26,157,0
P422,202000,182000,11.0,1146,2,2,31,4.7,37.3,4.4,17.0,14,193,1
P423,136000,168000,-19.0,902,3,1,22,6.6,33.2,5.3,8.7,27,7,0
P424,166000,159000,4.4,869,1,1,4,8.5,31.2,5.6,12.9,24,89,0
P425,219000,177000,23.7,994,2,1,16,6.9,42.8,5.7,10.7,10,239,1
P426,270000,231000,16.9,1096,3,2,40,3.9,14.6,9.7,5.9,21,170,0
P427,277000,313000,-11.6,1692,5,3,23,6.9,33.1,6.4,13.0,8,27,0
P428,417000,408000,2.2,2052,4,3,17,7.7,28.4,5.5,7.6,36,7,0
P429,152000,161000,-5.8,882,2,1,26,8.0,39.6,4.5,12.6,29,7,0
P430,380000,316000,20.4,1665,4,2,23,9.2,32.5,5.5,8.7,37,254,1
P431,137000,128000,7.2,725,1,1,31,4.3,23.5,5.2,11.9,35,103,0
P432,276000,281000,-1.9,1565,4,3,30,4.6,31.6,7.3,6.9,12,96,0
P433,255000,242000,5.3,1237,2,2,42,3.6,18.1,8.1,8.4,29,89,0
P434,118000,145000,-18.5,731,1,1,44,3.9,15.6,9.5,6.2,8,7,0
P435,298000,313000,-4.8,1656,4,2,21,5.7,22.1,6.8,14.6,38,76,0
P436,266000,253000,5.3,1320,2,1,22,5.3,26.8,7.1,11.3,32,114,0
P437,196000,174000,12.6,1156,2,1,31,4.7,37.8,5.1,15.8,28,160,0
P438,100000,114000,-12.5,779,2,2,46,1.0,31.2,6.2,14.0,39,11,0
P439,194000,191000,1.6,1024,3,1,41,4.0,20.4,7.6,5.4,34,73,0
P440,359000,315000,14.1,1496,3,2,9,8.4,29.9,8.6,6.6,35,99,0
P441,189000,206000,-8.1,1162,3,3,33,4.8,36.0,6.4,11.8,8,7,0
P442,340000,317000,7.1,1559,4,3,19,5.6,22.2,7.2,4.1,5,154,0
P443,263000,249000,5.6,1416,3,2,38,4.1,25.8,6.1,10.0,38,88,0
P444,462000,384000,20.4,1733,5,3,7,8.5,17.7,8.5,5.2,13,219,1
P445,228000,222000,2.9,1200,3,2,26,6.7,31.8,7.5,11.0,19,171,0
P446,94000,91000,3.5,519,3,1,32,6.0,31.9,5.4,11.3,6,129,0
P447,428000,380000,12.7,1790,4,4,9,8.9,25.3,7.6,11.5,26,110,0
P448,142000,152000,-6.9,1142,2,2,12,8.7,60.3,1.0,23.8,33,25,0
P449,342000,332000,3.0,1797,4,3,28,6.5,24.4,6.6,13.3,34,109,0
P450,174000,172000,0.9,1813,4,3,35,5.1,62.7,1.0,26.6,25,197,1
P451,195000,188000,3.7,1348,3,1,34,5.3,39.2,2.7,17.4,28,127,0
P452,349000,310000,12.6,1586,3,3,16,6.2,28.8,8.6,9.7,22,137,0
P453,430000,391000,10.0,2065,5,3,26,7.2,33.5,6.7,7.4,20,132,0
P454,334000,340000,-1.7,2256,5,2,20,4.5,43.3,3.8,17.5,24,107,0
P455,279000,263000,6.2,1457,3,1,16,8.1,42.3,4.9,16.0,37,121,0
P456,333000,281000,18.4,1349,3,2,36,6.3,14.3,6.6,11.5,13,164,0
P457,377000,387000,-2.5,1993,5,3,2,8.7,35.3,4.6,12.7,21,82,0
P458,214000,201000,6.3,875,2,1,13,7.2,6.0,10.0,2.5,26,9,0
P459,312000,302000,3.3,1516,2,2,10,9.7,29.1,5.5,10.9,24,114,0
P460,265000,254000,4.4,1318,2,3,17,7.4,29.4,6.0,10.8,6,84,0
P461,318000,352000,-9.7,1561,3,2,12,8.2,15.9,9.6,6.3,15,7,0
P462,195000,166000,17.7,948,2,1,35,4.6,23.2,7.3,11.4,27,203,1
P463,95000,97000,-2.0,652,1,1,35,3.6,33.8,4.8,18.2,29,104,0
P464,104000,91000,14.2,500,1,1,18,6.7,25.5,5.5,11.2,30,193,1
P465,153000,154000,-0.6,809,2,1,12,7.0,32.3,5.8,14.1,39,83,0
P466,188000,189000,-0.6,1252,2,1,25,6.5,50.5,3.2,18.5,28,155,0
P467,241000,208000,15.9,1297,2,2,36,4.3,37.8,4.8,13.0,25,223,1
P468,385000,338000,13.9,2261,6,3,33,4.7,29.1,4.0,14.3,16,260,1
P469,365000,341000,6.9,1846,4,4,38,3.7,27.4,7.0,13.2,17,128,0
P470,192000,172000,11.9,1063,2,1,44,3.6,33.4,5.2,10.2,33,168,0
P471,274000,268000,2.4,1528,3,3,23,6.0,26.4,4.3,13.7,21,71,0
P472,235000,224000,4.9,1180,2,2,7,7.6,29.7,6.0,10.9,30,66,0
P473,235000,237000,-1.0,1285,3,2,30,6.4,32.4,6.5,14.7,9,102,0
P474,322000,285000,13.1,1687,3,2,34,1.6,26.7,8.3,11.3,9,176,0
P475,234000,237000,-1.2,1518,3,2,25,5.9,33.8,3.9,14.6,12,127,0
P476,247000,209000,18.4,1340,3,2,24,4.9,41.8,4.6,17.2,11,321,1
P477,382000,374000,2.2,1652,3,2,5,9.1,11.5,8.0,8.1,26,44,0
P478,149000,142000,5.2,912,2,1,42,3.9,32.8,5.1,12.6,27,149,0
P479,258000,231000,11.8,1592,3,2,35,6.0,47.3,4.3,19.2,24,171,0
P480,575000,547000,5.2,2628,5,5,4,8.3,26.1,7.3,11.0,15,89,0
P481,303000,296000,2.3,1521,4,2,23,7.3,23.8,7.0,10.6,25,7,0
P482,317000,303000,4.7,1978,4,4,20,6.6,47.3,3.3,18.0,9,208,1
P483,304000,269000,13.0,1445,3,2,15,6.2,31.8,6.1,11.9,21,162,0
P484,322000,325000,-1.0,1631,4,3,31,7.7,28.6,6.1,9.5,10,131,0
P485,262000,252000,3.9,1280,3,1,10,8.0,30.1,6.0,10.6,7,43,0
P486,250000,238000,5.1,1289,3,2,35,5.2,28.6,6.5,8.2,10,177,0
P487,193000,171000,12.8,1073,2,2,18,9.1,45.6,2.9,21.0,8,212,1
P488,270000,259000,4.1,1502,4,3,40,3.0,28.1,6.9,8.6,21,134,0
P489,198000,163000,21.3,920,3,2,19,5.8,33.1,6.5,14.1,24,185,1
P490,272000,263000,3.6,1536,4,3,27,5.7,33.4,4.5,13.3,26,137,0
P491,383000,372000,2.9,1935,4,3,23,4.7,17.3,7.6,12.0,20,125,0
P492,357000,345000,3.5,1630,3,3,25,4.1,12.9,7.5,4.3,11,147,0
P493,256000,275000,-6.8,1299,3,2,28,4.7,12.7,8.6,3.4,5,64,0
P494,324000,339000,-4.3,1720,3,4,32,3.6,19.1,7.6,4.8,29,16,0
P495,221000,221000,0.2,1272,3,2,31,6.0,36.8,6.3,13.1,39,41,0
P496,378000,328000,15.2,1868,5,2,41,4.3,26.7,6.0,7.8,14,178,0
P497,128000,122000,4.7,612,1,1,20,6.1,27.1,8.0,8.0,12,154,0
P498,212000,211000,0.6,1238,2,3,40,4.4,33.2,6.0,7.2,15,103,0
P499,110000,95000,16.0,500,1,1,18,7.9,27.9,5.7,12.0,12,242,1
P500,219000,184000,19.0,993,2,1,32,3.3,25.0,6.3,7.7,12,262,1
